Metric,ache_mean,ache_std,fllhttr_mean,fllhttr_std,Delta_fllhttr_minus_ache
Backbone_RMSD_last20ns_(nm),,,,,
Peptide_self-fit_RMSD_last20ns_(nm),,,,,
SASA_last20ns_(nm2),,,,,
Rg_last20ns_(nm),,,2.3138,0.0046,
AChE-Peptide_Hbonds_last20ns_(count),,,,,
Backbone_RMSF_per-residue_mean_(nm),,,,,
RDF_peak_g(r),,,,,
