time_ns,rmsd_peptide_nm,rmsd_ache_nm,rmsd_complex_nm
4.3800,0.053771,0.144414,0.144446
4.4000,0.044404,0.141622,0.141006
4.4800,0.070206,0.146197,0.145903
4.5200,0.057311,0.157315,0.156887
4.5400,0.078983,0.157315,0.150976
4.6000,0.051747,0.153388,0.153171
4.6400,0.063122,0.147516,0.147442
4.6600,0.061989,0.152245,0.151954
4.6800,0.055177,0.147336,0.147231
4.7000,0.064817,0.156339,0.156046
4.7200,0.062963,0.146384,0.146207
4.7400,0.055369,0.158567,0.158032
4.8000,0.074830,0.143823,0.144168
4.8400,0.054875,0.136849,0.136879
4.9000,0.072582,0.157898,0.157644
4.9200,0.054068,0.144826,0.144860
4.9400,0.063343,0.144826,0.144860
4.9600,0.062119,0.148716,0.148773
4.9800,0.055502,0.146632,0.146654
5.0000,0.057891,0.146632,0.146654
5.0200,0.054516,0.134494,0.134431
5.0400,0.055144,0.139556,0.139140
5.0600,0.065771,0.144008,0.144321
5.0800,0.055753,0.135350,0.135215
5.1000,0.062123,0.149714,0.149298
5.1400,0.050487,0.146422,0.146001
5.1600,0.060187,0.142068,0.141795
5.1800,0.050920,0.142279,0.142276
5.2000,0.053953,0.142406,0.142606
5.2200,0.049763,0.146665,0.146414
5.2400,0.064536,0.139890,0.139597
5.2600,0.059060,0.145573,0.145547
5.2800,0.057204,0.145141,0.145046
5.3000,0.051219,0.145141,0.145046
5.3200,0.053845,0.146413,0.146404
5.3400,0.053280,0.143043,0.143102
5.3600,0.056490,0.152895,0.152640
5.3800,0.065476,0.150508,0.150642
5.4000,0.050853,0.149175,0.148936
5.4200,0.071508,0.142323,0.142302
5.4400,0.058026,0.151649,0.151386
5.4600,0.061183,0.146997,0.146526
5.4800,0.055018,0.146997,0.146526
5.5000,0.057089,0.154146,0.154220
5.5200,0.070662,0.154146,0.154220
5.5400,0.059938,0.151972,0.151545
5.5600,0.069417,0.160835,0.160446
5.5800,0.065219,0.151315,0.151236
5.6000,0.051141,0.151315,0.151236
5.6200,0.067669,0.162880,0.162608
5.6400,0.060297,0.152753,0.152475
5.6600,0.056858,0.152753,0.152475
5.6800,0.067552,0.160131,0.159734
5.7000,0.063333,0.160131,0.159734
5.7200,0.065378,0.159098,0.159113
5.7600,0.052655,0.149474,0.148963
5.7800,0.072193,0.161591,0.161386
5.8000,0.064299,0.158627,0.158402
5.8200,0.075091,0.148320,0.148079
5.8400,0.057741,0.150570,0.150505
5.8600,0.061904,0.150570,0.150505
5.8800,0.055877,0.168382,0.168351
5.9200,0.070007,0.168382,0.168351
5.9400,0.071061,0.148247,0.148367
5.9600,0.075903,0.158841,0.158474
5.9800,0.060116,0.150794,0.150783
6.0000,0.069734,0.151191,0.151377
6.0400,0.058638,0.161362,0.161021
6.0600,0.072933,0.155683,0.155425
6.0800,0.063665,0.155943,0.155766
6.1000,0.065721,0.155943,0.155766
6.1200,0.066955,0.155943,0.155766
6.1400,0.064273,0.155943,0.155766
6.1600,0.071982,0.168008,0.167765
6.1800,0.057929,0.168008,0.167765
6.2000,0.065422,0.168008,0.167765
6.2200,0.066925,0.154924,0.154983
6.2400,0.055790,0.166579,0.166464
6.2600,0.058398,0.153169,0.152971
6.2800,0.067556,0.153955,0.154082
6.3200,0.051660,0.170203,0.169621
6.3400,0.052491,0.153727,0.153779
6.4000,0.075558,0.155405,0.155013
6.4200,0.074704,0.155405,0.155013
6.4400,0.056028,0.133359,0.143764
6.4600,0.060245,0.133359,0.133072
6.5200,0.055926,0.158022,0.157438
6.5400,0.063264,0.159067,0.158599
6.5800,0.054371,0.147789,0.147184
6.6000,0.059737,0.155306,0.154920
6.6200,0.051511,0.155306,0.154920
6.6400,0.062268,0.154745,0.154402
6.6600,0.052418,0.150665,0.150545
6.7200,0.076641,0.152823,0.152922
6.7600,0.051426,0.162576,0.162229
6.7800,0.068842,0.162576,0.162229
6.8000,0.066987,0.155806,0.155313
6.8200,0.060914,0.160788,0.160285
6.8400,0.065143,0.145558,0.145260
6.8600,0.043472,0.159078,0.158478
6.8800,0.066444,0.159078,0.158478
6.9000,0.061015,0.137286,0.137060
6.9200,0.053970,0.137286,0.137060
6.9400,0.066689,0.137286,0.137060
6.9600,0.063424,0.155441,0.155175
6.9800,0.061809,0.155441,0.155175
7.0000,0.056856,0.151268,0.150824
7.0200,0.067421,0.151320,0.151087
7.0400,0.056717,0.151320,0.151087
7.0600,0.058421,0.161781,0.161221
7.1000,0.070844,0.157492,0.157123
7.1400,0.052969,0.140947,0.140541
7.2200,0.063980,0.145931,0.145453
7.2400,0.053477,0.143683,0.143768
7.2600,0.053577,0.153088,1.075427
7.2800,0.060627,0.153088,0.151952
7.3000,0.052314,0.152167,0.151952
7.3200,0.057203,0.141668,0.141413
7.3800,0.074737,0.168305,0.167642
7.4000,0.057596,0.166742,0.166044
7.4200,0.065730,0.145391,0.144909
7.4400,0.066455,0.145391,0.144909
7.4600,0.062659,0.142348,0.142321
7.4800,0.052591,0.152205,0.151919
7.5000,0.063848,0.152205,0.151919
7.5200,0.054029,0.139657,0.139440
7.5400,0.060970,0.139657,0.139440
7.5600,0.059092,0.143278,0.142664
7.5800,0.057983,0.157134,0.156584
7.6000,0.053409,0.149986,0.149471
7.6200,0.056193,0.135995,0.136002
7.6400,0.057122,0.135995,0.136002
7.6800,0.051742,0.137739,0.137604
7.7000,0.067605,0.137739,0.137604
7.7200,0.061366,0.153998,0.153619
7.7400,0.054881,0.144490,0.144223
7.7600,0.057118,0.145469,0.145173
7.7800,0.068792,0.141227,0.141196
7.8000,0.064365,0.141227,0.141196
7.8200,0.063711,0.141961,0.141580
7.8400,0.056198,0.139958,0.139700
7.8600,0.065643,0.139958,0.153836
7.8800,0.056251,0.159500,0.150571
7.9000,0.060189,0.159500,0.158872
7.9400,0.071500,0.160714,0.160093
8.0000,0.060118,0.150368,0.150250
8.0200,0.060427,0.159027,0.158594
8.0800,0.047962,0.155699,0.155108
8.1000,0.073719,0.157242,0.157061
8.1200,0.052647,0.172836,0.172230
8.1400,0.062118,0.165366,0.164944
8.1800,0.047524,0.148061,0.147863
8.2000,0.062147,0.152603,0.152213
8.2200,0.051220,0.145608,0.145608
8.2400,0.052971,0.159526,0.159314
8.2600,0.049467,0.148695,0.148310
8.2800,0.051333,0.157004,1.075730
8.3000,0.052707,0.153602,1.075730
8.3200,0.063706,0.157118,1.075730
8.3400,0.062683,0.149682,0.151367
8.3600,0.059543,0.149682,0.149299
8.3800,0.074987,0.149682,0.149299
8.4000,0.062533,0.149682,0.149299
8.4200,0.067421,0.157558,0.157045
8.4400,0.071311,0.157558,0.157045
8.4600,0.057441,0.168502,0.167942
8.4800,0.075274,0.158098,0.157503
8.5000,0.054211,0.158098,0.157503
8.5200,0.063405,0.158098,0.157503
8.5400,0.046296,0.166956,0.166197
8.5800,0.072271,0.149667,0.149447
8.6000,0.061221,0.147134,0.146748
8.6200,0.061388,0.151102,0.150817
8.6400,0.065096,0.148551,0.148088
8.6600,0.064271,0.166691,0.166186
8.6800,0.055540,0.166691,0.166186
8.7000,0.060559,0.155915,0.155371
8.7400,0.076936,0.148259,0.150013
8.7600,0.061790,0.148259,1.078019
8.7800,0.076029,0.147103,1.074672
8.8200,0.064526,0.138685,0.138591
8.8600,0.079480,0.140213,0.140016
8.9200,0.061410,0.145772,0.145180
8.9400,0.059996,0.145772,0.151648
8.9800,0.072812,0.168788,0.168143
9.0000,0.057168,0.161061,1.077924
9.0200,0.078262,0.161061,1.077924
9.0400,0.076832,0.139378,1.075422
9.1000,0.051936,0.161094,0.160787
9.1200,0.066416,0.161094,0.160787
9.1400,0.063407,0.151295,0.150995
9.1600,0.070992,0.157474,0.157323
9.1800,0.070332,0.154485,0.154422
9.2000,0.072724,0.148655,0.148263
9.2200,0.062227,0.150992,0.150485
9.2400,0.071459,0.163665,0.163182
9.2600,0.069570,0.158907,0.158602
9.3000,0.056264,0.164796,0.164208
9.3200,0.059145,0.168122,0.167720
9.3400,0.048256,0.159175,0.158570
9.3600,0.067243,0.164662,0.164292
9.3800,0.048353,0.163562,0.163051
9.4000,0.064282,0.166568,0.166258
9.4400,0.050229,0.172902,0.172210
9.4600,0.046169,0.175063,0.174522
9.5000,0.060503,0.180851,0.180566
9.5200,0.048034,0.154015,0.153635
9.5400,0.055126,0.154015,0.153635
9.5600,0.050041,0.155641,0.155307
9.5800,0.064988,0.139281,0.139704
9.6000,0.055707,0.139281,0.139704
9.6200,0.060094,0.163502,0.163099
9.6400,0.056419,0.147937,0.147757
9.6600,0.069021,0.149592,0.149665
9.6800,0.052616,0.168170,0.167597
9.7000,0.060218,0.168170,0.167597
9.7400,0.070552,0.148892,0.149319
9.7600,0.069420,0.148892,0.149319
9.8200,0.060574,0.158925,0.158560
9.8600,0.071574,0.146084,0.149796
9.8800,0.046556,0.146084,0.144427
9.9000,0.047633,0.147683,0.144427
9.9400,0.054974,0.143922,0.144427
9.9600,0.054195,0.163257,0.162750
9.9800,0.072347,0.163257,0.162750
10.0000,0.040469,0.149456,0.149237
10.0200,0.045842,0.152402,0.152173
10.0600,0.076704,0.156589,0.156439
10.1000,0.057969,0.147790,0.147406
10.1200,0.066686,0.148417,0.148129
10.1400,0.055311,0.147351,0.147181
10.1600,0.065720,0.147351,0.147181
10.1800,0.060414,0.160140,0.159892
10.2000,0.057530,0.160140,0.159892
10.2200,0.049803,0.148604,0.148973
10.2400,0.059582,0.148604,0.148973
10.2600,0.059480,0.150365,0.150044
10.3000,0.054798,0.149064,0.153543
10.3600,0.071592,0.163113,1.074207
10.3800,0.055357,0.143939,0.147731
10.4000,0.061495,0.143939,0.143887
10.4200,0.061861,0.159651,0.159211
10.4400,0.073293,0.151219,0.151671
10.4800,0.056942,0.152781,1.080968
10.5200,0.066694,0.147733,0.147632
10.5600,0.056251,0.157001,0.162135
10.6200,0.065361,0.174973,0.174564
10.6400,0.062019,0.174973,0.174564
10.6600,0.071794,0.174973,0.174564
10.6800,0.070718,0.148871,0.148970
10.7200,0.060152,0.157895,0.157649
10.7400,0.061247,0.146325,0.146542
10.7600,0.067297,0.146325,0.146542
10.7800,0.062391,0.170346,0.169934
10.8000,0.062967,0.165760,0.162877
10.8200,0.070139,0.165760,0.165493
10.8400,0.061799,0.157671,0.157240
10.8600,0.063174,0.157671,0.157240
10.8800,0.062674,0.142225,0.142202
10.9000,0.066960,0.142225,0.142202
10.9200,0.057918,0.158066,0.157890
10.9400,0.058645,0.148234,1.080892
10.9600,0.067943,0.149517,1.080892
11.0000,0.050437,0.147805,0.147516
11.0200,0.052665,0.147805,0.147516
11.0400,0.053590,0.163040,0.162412
11.0600,0.051013,0.163040,0.162412
11.1000,0.061068,0.148924,0.148909
11.1400,0.045397,0.156784,0.156388
11.1600,0.060175,0.157078,0.156988
11.2200,0.042667,0.163420,0.163267
11.2800,0.058574,0.153061,0.152857
11.3000,0.059007,0.167563,0.167172
11.3400,0.040437,0.149826,0.150152
11.3600,0.051937,0.149826,0.150152
11.3800,0.049610,0.149826,0.150152
11.4000,0.049688,0.168512,0.168547
11.4200,0.051043,0.141446,0.141820
11.4400,0.057589,0.141446,0.141820
11.4800,0.041343,0.155088,0.155400
11.5000,0.050766,0.143346,0.143408
11.5800,0.060370,0.150226,0.150615
11.6200,0.078083,0.151530,0.158369
11.6800,0.054635,0.149953,0.149959
11.7000,0.060142,0.158126,0.158611
11.7200,0.051979,0.158126,0.158611
11.7400,0.064044,0.150387,0.151228
11.7600,0.055991,0.163040,0.163037
11.7800,0.060350,0.158989,0.159438
11.8000,0.053521,0.157089,0.157413
11.8600,0.060851,0.152675,0.152743
11.8800,0.059822,0.154592,0.154544
11.9000,0.044750,0.159184,0.159002
11.9200,0.058730,0.148530,0.148466
11.9600,0.046854,0.160561,0.160457
12.0000,0.048258,0.156226,0.156908
12.0200,0.044023,0.144864,0.144850
12.0400,0.062337,0.144864,0.144850
12.0600,0.042084,0.150055,0.150197
12.0800,0.058287,0.150038,0.150180
12.1000,0.055008,0.150885,0.150878
12.1600,0.064919,0.164429,0.164021
12.1800,0.064538,0.164429,0.164021
12.2200,0.053433,0.163205,0.163143
12.2800,0.075688,0.154675,0.154446
12.3200,0.052943,0.165240,0.164964
12.3400,0.061625,0.152089,0.151679
12.3600,0.054731,0.152089,0.151679
12.3800,0.072565,0.157656,0.157354
12.4400,0.046493,0.153462,0.153475
12.4600,0.046928,0.142977,0.143398
12.5200,0.057170,0.152283,0.152525
12.5800,0.049132,0.145406,0.145818
12.6600,0.071619,0.152679,0.152723
12.6800,0.067858,0.146388,0.146714
12.7000,0.049121,0.146388,0.146714
12.7200,0.057258,0.146743,0.146845
12.7600,0.051449,0.163119,0.162897
12.7800,0.058868,0.159120,0.159201
12.8600,0.044926,0.159533,0.159666
12.9200,0.055936,0.138607,0.138770
12.9400,0.051162,0.149871,0.149770
13.0000,0.056242,0.142865,0.143197
13.0200,0.049549,0.142865,0.143197
13.0600,0.059650,0.163923,0.163531
13.0800,0.057251,0.164757,0.164325
13.1000,0.041349,0.170675,0.170389
13.1200,0.050109,0.165021,0.165140
13.1400,0.049063,0.181326,0.180843
13.1600,0.051862,0.176773,0.176389
13.1800,0.065645,0.155009,0.155115
13.2000,0.059872,0.155009,0.155115
13.2200,0.062174,0.155009,0.155115
13.2600,0.056226,0.171170,0.170982
13.3000,0.041158,0.167300,0.167095
13.3400,0.061804,0.155244,0.155212
13.3600,0.058264,0.155244,0.155212
13.3800,0.060579,0.155244,0.155212
13.4200,0.055064,0.161802,0.161959
13.4400,0.060778,0.161802,0.161959
13.4600,0.053522,0.168967,0.168596
13.4800,0.058121,0.168967,0.168596
13.5000,0.079101,0.163076,0.163132
13.5200,0.056843,0.166661,0.166291
13.5400,0.060107,0.168968,0.168473
13.5600,0.055761,0.162425,0.162461
13.5800,0.069933,0.166002,0.165826
13.6000,0.064158,0.164177,0.164196
13.6800,0.048652,0.182543,0.182157
13.7000,0.044876,0.162531,0.162157
13.7200,0.047005,0.162531,0.162157
13.7400,0.053019,0.162531,0.162157
13.7600,0.047509,0.177045,0.176848
13.8000,0.061613,0.166908,0.166738
13.8200,0.060827,0.170988,0.170643
13.8400,0.064664,0.170400,0.170308
13.9000,0.051697,0.168515,0.168197
13.9200,0.058888,0.168515,0.168197
13.9400,0.054452,0.161354,0.161053
13.9600,0.053814,0.161354,0.161053
13.9800,0.061900,0.161354,0.161053
14.0200,0.055460,0.168391,0.167727
14.0400,0.055030,0.178481,0.177773
14.0800,0.042251,0.178481,0.177773
14.1000,0.049575,0.170829,0.170418
14.1200,0.044785,0.170829,0.170418
14.1400,0.054796,0.182720,0.182312
14.1600,0.044292,0.170747,0.170486
14.1800,0.049441,0.186731,0.186077
14.2000,0.049923,0.175599,0.175267
14.2200,0.046388,0.178798,0.178426
14.2400,0.060985,0.186092,0.185229
14.3000,0.044133,0.175606,0.174991
14.3200,0.058558,0.176110,0.175919
14.3400,0.046957,0.164824,0.164404
14.3600,0.053822,0.178984,0.178315
14.3800,0.044525,0.171755,0.171065
14.4000,0.044816,0.172273,0.171903
14.4200,0.044489,0.175893,0.175462
14.4400,0.055111,0.169730,0.169240
14.4600,0.047612,0.180028,0.179421
14.5200,0.071722,0.169857,0.169282
14.5400,0.067846,0.169857,0.169282
14.5800,0.072176,0.169922,0.169391
14.6000,0.064025,0.159821,0.159441
14.6600,0.080475,0.179125,0.178605
14.6800,0.060100,0.180613,0.179839
14.7000,0.085225,0.174897,0.174328
14.7200,0.077206,0.158093,0.157693
14.7400,0.076630,0.174075,0.173714
14.7800,0.055367,0.166164,0.165842
14.8000,0.067696,0.162113,0.161622
14.8200,0.067195,0.174086,0.173812
14.8400,0.068089,0.169062,0.168969
14.8800,0.064059,0.171714,0.171431
14.9000,0.066935,0.170309,0.169901
14.9200,0.064225,0.170280,0.169863
14.9400,0.056062,0.171276,0.171000
14.9600,0.071970,0.175240,0.174861
14.9800,0.056764,0.165942,0.165968
15.0000,0.063371,0.176388,0.175783
15.0200,0.067035,0.172277,0.171805
15.0600,0.058727,0.159297,0.159347
15.0800,0.075336,0.159297,0.159347
15.1000,0.072780,0.156499,0.156366
15.1600,0.051514,0.162354,0.162319
15.1800,0.058128,0.183631,0.183042
15.2000,0.088633,0.171513,0.171328
15.2200,0.063132,0.171513,0.171328
15.2400,0.071494,0.170049,0.169962
15.2600,0.072539,0.166205,0.166011
15.3200,0.067378,0.186233,0.185776
15.3400,0.069971,0.175722,0.175266
15.3600,0.066070,0.193055,0.192377
15.3800,0.066922,0.192416,0.191601
15.4000,0.083053,0.177672,0.177165
15.4800,0.048495,0.171171,0.171138
15.5200,0.058543,0.159322,0.159748
15.5400,0.050436,0.167079,0.166831
15.5600,0.061949,0.168558,0.168619
15.5800,0.051693,0.164193,0.164529
15.6000,0.063567,0.164193,0.164529
15.6200,0.057993,0.181375,0.180981
15.6800,0.045572,0.181375,0.180981
15.7200,0.059402,0.163231,0.162992
15.7400,0.056515,0.163231,0.162992
15.7600,0.046694,0.192179,0.191576
15.8000,0.081448,0.192179,0.191576
15.8200,0.065883,0.192179,0.191576
15.8400,0.068013,0.171683,0.171326
15.8600,0.056652,0.173282,0.172731
15.9000,0.086985,0.177131,0.176878
15.9400,0.059741,0.158911,0.159053
15.9600,0.073729,0.158911,0.159053
15.9800,0.067136,0.165901,0.165915
16.0000,0.046037,0.161142,0.161519
16.0200,0.053813,0.167800,0.167655
16.0400,0.046703,0.167800,0.167655
16.0600,0.048849,0.153189,0.153418
16.1200,0.060617,0.158835,0.158506
16.1400,0.048772,0.158835,0.158506
16.1600,0.058627,0.184865,0.184139
16.2000,0.049233,0.170133,0.169746
16.2200,0.051276,0.170133,0.169746
16.2600,0.046567,0.172414,0.172059
16.2800,0.060930,0.172414,0.172059
16.3200,0.043443,0.167206,0.166953
16.3800,0.057180,0.173420,0.172967
16.4000,0.046612,0.171362,0.170858
16.4200,0.046810,0.171362,0.170858
16.4400,0.042701,0.181233,0.180479
16.4600,0.044539,0.178167,0.177787
16.4800,0.042879,0.166661,0.166312
16.5000,0.045758,0.166661,0.166312
16.5200,0.042096,0.172951,0.172583
16.5400,0.059913,0.172951,0.172583
16.5600,0.055477,0.150073,0.150143
16.5800,0.047288,0.150073,0.150143
16.6000,0.063463,0.150073,0.150143
16.6400,0.043043,0.165910,0.165565
16.6800,0.055528,0.168697,0.168379
16.7000,0.053523,0.169603,0.168996
16.7200,0.050699,0.169603,0.168996
16.7400,0.064971,0.155728,0.155766
