time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
76.500 0.3364 0.1190 0.1391 0.2142 0.1683 0.0210 0.0019 50
77.500 0.3409 0.1163 0.1352 0.2149 0.1687 0.0222 0.0019 50
78.500 0.3417 0.1172 0.1337 0.2165 0.1654 0.0237 0.0019 50
79.500 0.3359 0.1231 0.1317 0.2203 0.1626 0.0246 0.0019 50
80.500 0.3316 0.1239 0.1334 0.2185 0.1662 0.0246 0.0019 50
81.500 0.3299 0.1298 0.1296 0.2181 0.1673 0.0233 0.0019 50
82.500 0.3350 0.1272 0.1299 0.2100 0.1695 0.0265 0.0019 50
83.500 0.3392 0.1214 0.1297 0.2126 0.1675 0.0277 0.0019 50
84.500 0.3420 0.1211 0.1283 0.2151 0.1671 0.0245 0.0019 50
85.500 0.3327 0.1297 0.1275 0.2125 0.1681 0.0278 0.0019 50
86.500 0.3351 0.1297 0.1273 0.2109 0.1698 0.0253 0.0019 50
87.500 0.3367 0.1238 0.1294 0.2132 0.1692 0.0259 0.0019 50
88.500 0.3325 0.1320 0.1264 0.2136 0.1698 0.0238 0.0019 50
89.500 0.3331 0.1257 0.1296 0.2187 0.1684 0.0227 0.0019 50
90.500 0.3351 0.1246 0.1312 0.2166 0.1658 0.0249 0.0019 50
91.500 0.3382 0.1267 0.1282 0.2176 0.1660 0.0215 0.0019 50
92.500 0.3419 0.1237 0.1260 0.2173 0.1676 0.0218 0.0019 50
93.500 0.3384 0.1268 0.1290 0.2159 0.1654 0.0225 0.0019 50
94.500 0.3453 0.1223 0.1256 0.2098 0.1688 0.0263 0.0019 50
95.500 0.3393 0.1249 0.1229 0.2190 0.1659 0.0262 0.0019 50
96.500 0.3335 0.1314 0.1238 0.2137 0.1683 0.0274 0.0019 50
97.500 0.3368 0.1272 0.1273 0.2142 0.1668 0.0259 0.0019 50
98.500 0.3371 0.1218 0.1317 0.2155 0.1675 0.0246 0.0019 50
99.500 0.3382 0.1200 0.1290 0.2140 0.1679 0.0290 0.0019 51
