time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
76.500 0.3384 0.1227 0.1304 0.2062 0.1764 0.0239 0.0019 50
77.500 0.3401 0.1232 0.1286 0.2062 0.1726 0.0275 0.0019 50
78.500 0.3335 0.1212 0.1340 0.2109 0.1717 0.0269 0.0019 50
79.500 0.3396 0.1235 0.1300 0.2070 0.1732 0.0249 0.0019 50
80.500 0.3426 0.1200 0.1324 0.2082 0.1701 0.0249 0.0019 50
81.500 0.3420 0.1203 0.1281 0.2073 0.1748 0.0257 0.0019 50
82.500 0.3349 0.1272 0.1260 0.2099 0.1748 0.0254 0.0019 50
83.500 0.3383 0.1210 0.1307 0.2128 0.1705 0.0249 0.0019 50
84.500 0.3365 0.1202 0.1303 0.2168 0.1701 0.0243 0.0019 50
85.500 0.3325 0.1266 0.1291 0.2172 0.1707 0.0220 0.0019 50
86.500 0.3381 0.1229 0.1287 0.2155 0.1695 0.0235 0.0019 50
87.500 0.3420 0.1190 0.1326 0.2125 0.1679 0.0241 0.0019 50
88.500 0.3395 0.1170 0.1357 0.2154 0.1684 0.0222 0.0019 50
89.500 0.3407 0.1206 0.1302 0.2137 0.1683 0.0246 0.0019 50
90.500 0.3421 0.1181 0.1284 0.2165 0.1681 0.0249 0.0019 50
91.500 0.3391 0.1239 0.1256 0.2131 0.1703 0.0261 0.0019 50
92.500 0.3406 0.1209 0.1297 0.2113 0.1693 0.0263 0.0019 50
93.500 0.3370 0.1231 0.1294 0.2124 0.1723 0.0240 0.0019 50
94.500 0.3374 0.1183 0.1329 0.2101 0.1729 0.0264 0.0019 50
95.500 0.3388 0.1222 0.1295 0.2087 0.1733 0.0256 0.0019 50
96.500 0.3374 0.1239 0.1283 0.2099 0.1747 0.0240 0.0019 50
97.500 0.3369 0.1241 0.1288 0.2093 0.1742 0.0249 0.0019 50
98.500 0.3399 0.1249 0.1294 0.2085 0.1715 0.0241 0.0019 50
99.500 0.3376 0.1254 0.1296 0.2113 0.1710 0.0232 0.0019 51
