time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
76.500 0.3457 0.1714 0.0200 0.4629 0.0000 0.0000 0.0000 50
77.500 0.3257 0.2086 0.0086 0.4571 0.0000 0.0000 0.0000 50
78.500 0.3914 0.1629 0.0057 0.4400 0.0000 0.0000 0.0000 50
79.500 0.3771 0.1571 0.0114 0.4543 0.0000 0.0000 0.0000 50
80.500 0.4543 0.0971 0.0114 0.4371 0.0000 0.0000 0.0000 50
81.500 0.4600 0.1000 0.0057 0.4343 0.0000 0.0000 0.0000 50
82.500 0.4800 0.0657 0.0086 0.4457 0.0000 0.0000 0.0000 50
83.500 0.4200 0.1343 0.0057 0.4400 0.0000 0.0000 0.0000 50
84.500 0.3800 0.1571 0.0057 0.4571 0.0000 0.0000 0.0000 50
85.500 0.4143 0.1286 0.0086 0.4486 0.0000 0.0000 0.0000 50
86.500 0.4029 0.1514 0.0057 0.4400 0.0000 0.0000 0.0000 50
87.500 0.3886 0.1486 0.0114 0.4514 0.0000 0.0000 0.0000 50
88.500 0.3400 0.1800 0.0086 0.4714 0.0000 0.0000 0.0000 50
89.500 0.4486 0.0886 0.0057 0.4571 0.0000 0.0000 0.0000 50
90.500 0.3286 0.2200 0.0086 0.4429 0.0000 0.0000 0.0000 50
91.500 0.4029 0.1457 0.0057 0.4457 0.0000 0.0000 0.0000 50
92.500 0.4743 0.0829 0.0086 0.4343 0.0000 0.0000 0.0000 50
93.500 0.4143 0.1400 0.0086 0.4371 0.0000 0.0000 0.0000 50
94.500 0.3286 0.2057 0.0114 0.4543 0.0000 0.0000 0.0000 50
95.500 0.2429 0.2971 0.0143 0.4457 0.0000 0.0000 0.0000 50
96.500 0.4686 0.0857 0.0029 0.4429 0.0000 0.0000 0.0000 50
97.500 0.5600 0.0086 0.0000 0.4314 0.0000 0.0000 0.0000 50
98.500 0.5486 0.0171 0.0057 0.4286 0.0000 0.0000 0.0000 50
99.500 0.5658 0.0056 0.0000 0.4286 0.0000 0.0000 0.0000 51
