time_ns helix_frac turn_frac bend_frac coil_frac sheet_frac ppii_frac break_frac n_frames
76.500 0.3263 0.1395 0.1272 0.2088 0.1741 0.0223 0.0019 50
77.500 0.3300 0.1350 0.1290 0.2094 0.1732 0.0216 0.0019 50
78.500 0.3302 0.1349 0.1260 0.2154 0.1701 0.0216 0.0019 50
79.500 0.3263 0.1341 0.1318 0.2161 0.1689 0.0210 0.0019 50
80.500 0.3281 0.1321 0.1303 0.2168 0.1692 0.0217 0.0019 50
81.500 0.3296 0.1304 0.1320 0.2158 0.1694 0.0209 0.0019 50
82.500 0.3302 0.1270 0.1338 0.2175 0.1696 0.0201 0.0019 50
83.500 0.3308 0.1268 0.1361 0.2137 0.1722 0.0185 0.0019 50
84.500 0.3282 0.1267 0.1355 0.2138 0.1755 0.0184 0.0019 50
85.500 0.3298 0.1273 0.1332 0.2175 0.1713 0.0190 0.0019 50
86.500 0.3300 0.1276 0.1310 0.2171 0.1724 0.0200 0.0019 50
87.500 0.3310 0.1292 0.1303 0.2149 0.1730 0.0196 0.0019 50
88.500 0.3325 0.1293 0.1294 0.2162 0.1712 0.0196 0.0019 50
89.500 0.3234 0.1340 0.1303 0.2212 0.1692 0.0199 0.0019 50
90.500 0.3267 0.1275 0.1318 0.2186 0.1716 0.0220 0.0019 50
91.500 0.3318 0.1302 0.1281 0.2137 0.1724 0.0221 0.0019 50
92.500 0.3279 0.1305 0.1315 0.2160 0.1710 0.0212 0.0019 50
93.500 0.3281 0.1307 0.1294 0.2168 0.1739 0.0192 0.0019 50
94.500 0.3309 0.1279 0.1300 0.2168 0.1720 0.0206 0.0019 50
95.500 0.3322 0.1267 0.1293 0.2222 0.1680 0.0198 0.0019 50
96.500 0.3242 0.1338 0.1272 0.2281 0.1671 0.0177 0.0019 50
97.500 0.3256 0.1337 0.1282 0.2232 0.1690 0.0185 0.0019 50
98.500 0.3319 0.1288 0.1249 0.2212 0.1700 0.0213 0.0019 50
99.500 0.3307 0.1290 0.1305 0.2190 0.1691 0.0198 0.0019 51
